world,optimiser_name,outcome,rollout_times,planning_time,model_reduction_time,iterations
rtc_1.xml,NMR,SUCCESS,"[[12.984354257583618, 12.832661390304565, 13.283084392547607, 13.258850574493408, 12.885706663131714, 13.023563146591187]]",79.63346362113950,0,[6]
rtc_1.xml,OCMR2-G3,SUCCESS,"[[3.683342933654785, 3.6275548934936523, 3.814664125442505, 3.7297935485839844]]",16.525097370147700,0.6246860027313230,[4]
rtc_1.xml,OCMR2-G5,SUCCESS,"[[4.141374826431274, 4.058823108673096, 4.3543701171875, 4.297030448913574, 4.2588112354278564], [5.898611307144165, 6.195149660110474, 6.095975875854492, 5.990695476531982], [7.686279058456421, 8.079763650894165, 7.7937331199646], [13.560281753540039]]",91.51555323600770,1.7857718467712400,"[5, 4, 3, 1]"
rtc_1.xml,OCMR2-G10,SUCCESS,"[[5.726135730743408, 5.956779718399048, 6.1527135372161865, 5.886621952056885], [13.16451907157898, 13.788389205932617]]",55.6145703792572,0.6254920959472660,"[4, 2]"
rtc_1.xml,NMR,SUCCESS,"[[13.131941795349121, 13.132307767868042, 13.814571857452393, 13.440219163894653, 13.3170485496521]]",68.23087644577030,0,[5]
rtc_1.xml,OCMR2-G3,SUCCESS,"[[3.6629655361175537, 3.628490447998047, 3.7843658924102783, 3.773937463760376, 3.646364212036133], [4.635323762893677], [5.659512519836426]]",34.353217363357500,1.8918275833129900,"[5, 1, 1]"
rtc_1.xml,OCMR2-G5,SUCCESS,"[[4.22310471534729, 4.15492844581604, 4.417279005050659, 4.358476161956787, 4.2049949169158936]]",23.15535068511960,0.6304845809936520,[5]
rtc_1.xml,OCMR2-G10,SUCCESS,"[[5.853734731674194, 5.9057722091674805, 6.170105695724487, 5.894639015197754], [12.977206230163574]]",41.57542848587040,0.6103229522705080,"[4, 1]"
rtc_1.xml,NMR,SUCCESS,"[[12.87537693977356, 12.927592754364014, 13.31035852432251, 13.52136754989624, 13.00260615348816]]",67.00807309150700,0,[5]
rtc_1.xml,OCMR2-G3,SUCCESS,"[[3.7320079803466797, 3.648498058319092, 3.754241466522217, 3.6980514526367188, 3.6103148460388184], [0.0], [5.925275564193726], [6.917122840881348]]",38.945473432540900,2.504446029663090,"[5, 0, 1, 1]"
